config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,comparison,jct_delta_pct
49,train,53,11340,305,23,16,8.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,0.2606190824326966
49,train,53,11340,305,23,16,8.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.2505977223537801
50,train,7,60696,412,117,32,32.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,3.0362450128648333
50,train,7,60696,412,117,32,32.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,3.0362436411943556
50,train,7,60696,412,117,32,32.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.11792383890510123
51,train,21,1026,65,212,8,16.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,1.6136526641844442
51,train,21,1026,65,212,8,16.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,8.70539446172772
51,train,21,1026,65,212,8,16.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.9980624795602598
52,train,111,45320,218,43,2,32.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,-0.9839575785672077
52,train,111,45320,218,43,2,32.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,-0.9839275274768602
52,train,111,45320,218,43,2,32.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,2.930109433766929e-05
53,train,33,51319,642,337,8,2.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,1.8089548192828042
53,train,33,51319,642,337,8,2.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,1.8089530700929541
53,train,33,51319,642,337,8,2.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.9990155759380371
54,train,41,12296,79,49,32,2.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,1.0305624369438597
54,train,41,12296,79,49,32,2.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,0.9197332116042584
54,train,41,12296,79,49,32,2.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.5075256087643033
55,train,21,21280,2223,34,2,4.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,-0.9752455540892511
55,train,21,21280,2223,34,2,4.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,-0.9751669109734021
55,train,21,21280,2223,34,2,4.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,4.151757597421061e-05
56,train,45,425,1609,70,8,2.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,-0.8459289509227994
56,train,45,425,1609,70,8,2.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,-0.844404305342309
56,train,45,425,1609,70,8,2.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.780461405449984
57,train,73,22352,1254,121,8,4.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,1.762596363951502
57,train,73,22352,1254,121,8,4.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,1.762585621857019
57,train,73,22352,1254,121,8,4.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.9974781214980455
58,train,25,26888,91,20,2,4.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,-0.9661711145086356
58,train,25,26888,91,20,2,4.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,-0.9660706233486488
58,train,25,26888,91,20,2,4.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,3.7455836023365844e-05
59,train,57,8172,97,175,32,1.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,2.9418432443122926
59,train,57,8172,97,175,32,1.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,2.941836520078198
59,train,57,8172,97,175,32,1.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.7463115760772817
