config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,baseline,jct_p99_ms,mesh_total_traffic_bytes
42,train,58,3800,802,52,32,16.0,False,1.0,1.0,waferagent_adaptive,16377.764926127244,261588254720000.0
43,train,116,36008,2783,380,32,1.0,True,1.0,1.0,apc_like,2271076.3414282515,1.90329836691456e+16
43,train,116,36008,2783,380,32,1.0,True,1.0,1.0,apc_like_global_orchestrator,4773257.841725398,1658176646451200.0
43,train,116,36008,2783,380,32,1.0,True,1.0,1.0,pat_like_traffic_only,2406180.169027991,1.9051815035043704e+16
43,train,116,36008,2783,380,32,1.0,True,1.0,1.0,pat_like_global_orchestrator,4773269.841725397,1658176646451200.0
43,train,116,36008,2783,380,32,1.0,True,1.0,1.0,waferagent_adaptive,2271076.3414282515,1.90329836691456e+16
44,train,61,40694,1392,26,4,8.0,True,1.0,1.0,apc_like,20891.253546713182,29762152121600.0
44,train,61,40694,1392,26,4,8.0,True,1.0,1.0,apc_like_global_orchestrator,106.98009432756143,0.0
44,train,61,40694,1392,26,4,8.0,True,1.0,1.0,pat_like_traffic_only,22241.283386167368,29290640314828.0
44,train,61,40694,1392,26,4,8.0,True,1.0,1.0,pat_like_global_orchestrator,109.14766968896227,0.0
44,train,61,40694,1392,26,4,8.0,True,1.0,1.0,waferagent_adaptive,106.98217368640738,0.0
45,train,35,11197,1283,407,32,1.0,True,1.0,1.0,apc_like,755723.0947020377,6333011239526400.0
45,train,35,11197,1283,407,32,1.0,True,1.0,1.0,apc_like_global_orchestrator,1579511.7457479548,551739657241600.0
45,train,35,11197,1283,407,32,1.0,True,1.0,1.0,pat_like_traffic_only,800721.218940745,6335788770857773.0
45,train,35,11197,1283,407,32,1.0,True,1.0,1.0,pat_like_global_orchestrator,1579523.745747955,551739657241600.0
45,train,35,11197,1283,407,32,1.0,True,1.0,1.0,waferagent_adaptive,755723.0947020377,6333011239526400.0
46,train,35,513,134,27,32,32.0,False,1.0,1.0,apc_like,1172.6569086344675,18638910259200.0
46,train,35,513,134,27,32,32.0,False,1.0,1.0,apc_like_global_orchestrator,4121.144883192013,1597620879360.0
46,train,35,513,134,27,32,32.0,False,1.0,1.0,pat_like_traffic_only,1172.8569086344673,18638910259200.0
46,train,35,513,134,27,32,32.0,False,1.0,1.0,pat_like_global_orchestrator,4121.344883192018,1597620879360.0
46,train,35,513,134,27,32,32.0,False,1.0,1.0,waferagent_adaptive,6.846268574866786,0.0
47,train,7,18823,2449,102,32,8.0,True,1.0,1.0,apc_like,322697.0523454877,2703873646510080.0
47,train,7,18823,2449,102,32,8.0,True,1.0,1.0,apc_like_global_orchestrator,662669.625281695,235564759951360.0
47,train,7,18823,2449,102,32,8.0,True,1.0,1.0,pat_like_traffic_only,342267.50750277616,2689240131433220.0
47,train,7,18823,2449,102,32,8.0,True,1.0,1.0,pat_like_global_orchestrator,662675.6252816952,235564759951360.0
