baseline,wave_id,time,operator_id,state_id,region_id,policy_before,policy_after,dynamic_hotness_before,dynamic_hotness_after,materialization_bytes,movement_byte_hop,cache_hit,workflow
WaferStateFlow,0,0.0,O_expert_2,S_rubric,R_15_0,replicate,replicate,1167.2848920710212,1108.7351798461636,0,0,True,mapreduce
WaferStateFlow,0,0.0,O_expert_2,S_unique_expert_2,R_15_0,inline,inline,394.9992916340625,399.5495395621406,1632,6266880,False,mapreduce
WaferStateFlow,0,0.0,O_expert_3,S_task,R_15_15,replicate,replicate,1108.7351798461636,1070.6778669000064,0,0,True,mapreduce
WaferStateFlow,0,0.0,O_expert_3,S_document,R_15_15,replicate,replicate,999.9997168819996,999.9998159732997,0,0,True,mapreduce
WaferStateFlow,0,0.0,O_expert_3,S_rubric,R_15_15,replicate,replicate,1108.7351798461636,1070.6778669000064,0,0,True,mapreduce
WaferStateFlow,0,0.0,O_expert_3,S_unique_expert_3,R_15_15,inline,inline,299.1538752816797,302.6000189330918,1236,5062656,False,mapreduce
WaferStateFlow,1,6.940006917440001,O_summarizer,S_task,R_0_0,replicate,replicate,1070.6778669000064,1395.9406134850042,0,0,True,mapreduce
WaferStateFlow,1,6.940006917440001,O_summarizer,S_rubric,R_0_0,replicate,replicate,1070.6778669000064,1395.9406134850042,0,0,True,mapreduce
WaferStateFlow,1,6.940006917440001,O_summarizer,S_expert_0_summary,R_0_0,inline,inline,402.74437578375,407.3838442594375,832,0,False,mapreduce
WaferStateFlow,1,6.940006917440001,O_summarizer,S_expert_1_summary,R_0_0,inline,inline,551.8372456652344,558.1942096824023,1140,0,False,mapreduce
WaferStateFlow,1,6.940006917440001,O_summarizer,S_expert_2_summary,R_0_0,inline,inline,435.66098341992193,440.6796392229493,900,0,False,mapreduce
WaferStateFlow,1,6.940006917440001,O_summarizer,S_expert_3_summary,R_0_0,inline,inline,420.1708151205468,425.01102982835545,868,0,False,mapreduce
flat_sequential,0,0.0,O_debate_r0_a0,S_task,R_0_0,replicate,replicate,0.0,350.0,4000,4000,False,debate
flat_sequential,0,0.0,O_debate_r0_a0,S_document,R_0_0,replicate,replicate,0.0,350.0,4000,4000,False,debate
flat_sequential,0,0.0,O_debate_r0_a0,S_rubric,R_0_0,replicate,replicate,0.0,350.0,4000,4000,False,debate
flat_sequential,0,0.0,O_debate_r0_a0,S_role_instruction,R_0_0,replicate,replicate,0.0,350.0,4000,4000,False,debate
flat_sequential,0,0.0,O_debate_r0_a0,S_round_0_stance_0,R_0_0,inline,inline,0.0,155.75,1780,1780,False,debate
flat_sequential,1,8.940003202778126,O_debate_r0_a1,S_task,R_0_0,replicate,replicate,350.0,577.5,4000,4000,False,debate
flat_sequential,1,8.940003202778126,O_debate_r0_a1,S_document,R_0_0,replicate,replicate,350.0,577.5,4000,4000,False,debate
flat_sequential,1,8.940003202778126,O_debate_r0_a1,S_rubric,R_0_0,replicate,replicate,350.0,577.5,4000,4000,False,debate
flat_sequential,1,8.940003202778126,O_debate_r0_a1,S_role_instruction,R_0_0,replicate,replicate,350.0,577.5,4000,4000,False,debate
flat_sequential,1,8.940003202778126,O_debate_r0_a1,S_round_0_stance_1,R_0_0,inline,inline,0.0,138.6,1584,1584,False,debate
flat_sequential,2,17.782006405525628,O_debate_r0_a2,S_task,R_0_0,replicate,replicate,577.5,725.375,4000,4000,False,debate
flat_sequential,2,17.782006405525628,O_debate_r0_a2,S_document,R_0_0,replicate,replicate,577.5,725.375,4000,4000,False,debate
flat_sequential,2,17.782006405525628,O_debate_r0_a2,S_rubric,R_0_0,replicate,replicate,577.5,725.375,4000,4000,False,debate
flat_sequential,2,17.782006405525628,O_debate_r0_a2,S_role_instruction,R_0_0,replicate,replicate,577.5,725.375,4000,4000,False,debate
flat_sequential,2,17.782006405525628,O_debate_r0_a2,S_round_0_stance_2,R_0_0,inline,inline,0.0,142.79999999999998,1632,1632,False,debate
flat_sequential,3,26.64800960828063,O_debate_r0_a3,S_task,R_0_0,replicate,replicate,725.375,821.4937500000001,4000,4000,False,debate
flat_sequential,3,26.64800960828063,O_debate_r0_a3,S_document,R_0_0,replicate,replicate,725.375,821.4937500000001,4000,4000,False,debate
